Age(days)	Cases(/day)	Cumulative(NumberCases)
128	1	1
126	2	3
122	14	17
120	3	20
119	2	22
116	2	24
113	2	26
110	2	28
108	2	30
107	1	31
106	4	35
105	3	38
104	3	41
103	6	47
102	4	51
101	3	54
100	21	75
99	23	98
98	23	121
97	21	142
96	25	167
95	7	174
94	16	190
93	22	212
92	35	247
91	27	274
90	14	288
89	22	310
88	18	328
87	9	337
86	13	350
85	22	372
84	10	382
83	16	398
82	16	414
81	9	423
80	11	434
79	5	439
78	5	444
77	5	449
76	3	452
75	2	454
74	3	457
73	4	461
72	4	465
71	2	467
70	10	477
69	5	482
68	6	488
67	11	499
66	11	510
65	24	534
64	31	565
63	46	611
62	58	669
61	67	736
60	41	777
59	61	838
58	75	913
57	83	996
56	87	1083
55	86	1169
54	56	1225
53	68	1293
52	81	1374
51	94	1468
50	128	1596
49	112	1708
48	150	1858
47	93	1951
46	69	2020
45	131	2151
44	152	2303
43	131	2434
42	120	2554
41	107	2661
40	74	2735
39	94	2829
38	133	2962
37	123	3085
36	135	3220
35	74	3294
34	94	3388
33	91	3479
32	79	3558
31	91	3649
30	78	3727
29	135	3862
28	103	3965
27	78	4043
26	45	4088
25	35	4123
24	65	4188
23	86	4274
22	97	4371
21	41	4412
20	36	4448
19	22	4470
18	21	4491
17	27	4518
16	28	4546
15	28	4574
14	23	4597
13	16	4613
12	7	4620
11	5	4625
10	11	4636
9	13	4649
8	6	4655
7	5	4660
6	20	4680
5	6	4686
4	2	4688
2	1	4689
1	1	4690
